state,x,y
Jammu & Kashmir,-143.0,249.0
Himachal Pradesh,-117.0,188.0
Punjab,-161.0,163.0
Haryana,-140.0,125.0
Uttarakhand,-88.0,153.0
Rajasthan,-224.0,69.0
Gujarat,-259.0,-6.0
Madhya Pradesh,-131.0,-8.0
Maharashtra,-181.0,-92.0
Goa,-193.0,-163.0
Karnataka,-173.0,-182.0
Kerala,-156.0,-262.0
Tamil Nadu,-108.0,-249.0
Andhra Pradesh,-104.0,-170.0
Telangana,-95.0,-117.0
Odisha,30.0,-60.0
Chhattishgarh,-30.0,-45.0
Jharkhand,49.0,-1.0
West Bengal,105.0,-8.0
Uttar Pradesh,-74.0,86.0
Bihar,58.0,43.0
Sikkim,132.0,88.0
Assam,205.0,65.0
Arunachal Pradesh,241.0,95.0
Meghalaya,180.0,47.0
Tripura,204.0,5.0
Mizoram,231.0,-6.0
Manipur,251.0,24.0
Nagaland,266.0,55.0